,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,0.5,justin_vasil.png,justin_justin.png,aligned_inverted_same,False
1,13-test-trial-2,same,0.41000000000000014,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
2,14-test-trial-3,same,4.7,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
3,15-test-trial-4,different,0.8999999999999999,elias_prokop.png,elias_elias.png,aligned_inverted_same,False
4,16-test-trial-5,same,6.3,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
5,17-test-trial-6,different,1.1999999999999997,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,True
6,18-test-trial-7,same,1.1999999999999997,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,True
7,19-test-trial-8,same,2.4999999999999996,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
8,20-test-trial-9,same,0.10000000000000009,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
9,21-test-trial-10,same,0.19999999999999973,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,True
10,22-test-trial-11,same,1.6000000000000005,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,True
11,23-test-trial-12,same,1.7900000000000005,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,False
12,24-test-trial-13,same,3.2,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
13,25-test-trial-14,same,1.6999999999999997,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
14,26-test-trial-15,same,1.1,edita_debra.png,edita_edita.png,aligned_inverted_same,True
15,27-test-trial-16,different,5.3999999999999995,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,True
16,28-test-trial-17,same,2.0100000000000002,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,True
17,29-test-trial-18,same,1.7000000000000002,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
18,30-test-trial-19,different,3.6,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
19,31-test-trial-20,same,1.7999999999999998,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,True
20,32-test-trial-21,different,0.7999999999999998,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
21,33-test-trial-22,same,3.8000000000000003,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
22,34-test-trial-23,same,2.9,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
23,35-test-trial-24,same,4.59,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,True
24,36-test-trial-25,different,2.21,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,True
25,37-test-trial-26,same,1.0999999999999996,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,False
26,38-test-trial-27,same,1.5,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
27,39-test-trial-28,same,1.2999999999999998,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
28,40-test-trial-29,different,1.1999999999999997,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
29,41-test-trial-30,different,2.8000000000000003,saskie_milota.png,milota_saskie.png,aligned_inverted_different,True
30,42-test-trial-31,same,0.0,stela_lea.png,stela_stela.png,aligned_inverted_same,True
31,43-test-trial-32,different,1.5,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,True
32,44-test-trial-33,same,0.3999999999999999,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
33,45-test-trial-34,different,2.1999999999999997,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
34,46-test-trial-35,different,1.9,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,True
35,47-test-trial-36,same,2.8000000000000003,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
