,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.2,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
1,13-test-trial-2,same,4.4,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
2,14-test-trial-3,different,5.7,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,False
3,15-test-trial-4,same,2.8000000000000003,elena_eleanora.png,elena_elena.png,misaligned_inverted_same,True
4,16-test-trial-5,same,2.3000000000000003,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
5,17-test-trial-6,different,4.0,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
6,18-test-trial-7,same,5.2700000000000005,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
7,19-test-trial-8,different,3.5999999999999996,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,False
8,20-test-trial-9,same,6.2,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,False
9,21-test-trial-10,same,3.8999999999999995,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
10,22-test-trial-11,same,3.8,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
11,23-test-trial-12,same,7.7,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
12,24-test-trial-13,different,7.8999999999999995,eleanora_eleanora.png,eleanora_elena.png,aligned_inverted_same,False
13,25-test-trial-14,different,3.8000000000000003,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
14,26-test-trial-15,same,3.1,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,False
15,27-test-trial-16,different,25.4,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,False
16,28-test-trial-17,different,8.9,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
17,29-test-trial-18,same,2.3899999999999997,justin_vasil.png,justin_justin.png,aligned_inverted_same,True
18,30-test-trial-19,different,3.9,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
19,31-test-trial-20,same,0.8999999999999999,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
20,32-test-trial-21,same,2.5,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,True
21,33-test-trial-22,different,5.0,stela_lea.png,stela_stela.png,aligned_inverted_same,False
22,34-test-trial-23,same,3.4999999999999996,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
23,35-test-trial-24,same,0.6999999999999997,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,True
24,36-test-trial-25,same,0.7999999999999998,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,False
25,37-test-trial-26,same,0.0,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
26,38-test-trial-27,same,1.1999999999999997,viola_peggy.png,peggy_viola.png,aligned_inverted_different,False
27,39-test-trial-28,same,0.1299999999999999,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
28,40-test-trial-29,same,0.7999999999999998,miriama_livia.png,livia_miriama.png,aligned_inverted_different,False
29,41-test-trial-30,same,0.18999999999999995,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
30,42-test-trial-31,same,0.5,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
31,43-test-trial-32,same,0.7000000000000002,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
32,44-test-trial-33,same,0.5,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,False
33,45-test-trial-34,same,0.2999999999999998,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,False
34,46-test-trial-35,same,0.2999999999999998,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
35,47-test-trial-36,same,0.2999999999999998,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,False
