,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,4.99,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,True
1,13-test-trial-2,same,6.720000000000001,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
2,14-test-trial-3,different,5.430000000000001,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,True
3,15-test-trial-4,same,5.660000000000001,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
4,16-test-trial-5,same,7.409999999999999,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
5,17-test-trial-6,same,2.73,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,True
6,18-test-trial-7,same,2.5100000000000002,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
7,19-test-trial-8,different,8.68,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,False
8,20-test-trial-9,different,4.25,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
9,21-test-trial-10,different,2.6099999999999994,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
10,22-test-trial-11,same,3.9300000000000006,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
11,23-test-trial-12,different,4.9,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,False
12,24-test-trial-13,different,6.95,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,True
13,25-test-trial-14,different,2.17,viola_peggy.png,peggy_viola.png,aligned_inverted_different,True
14,26-test-trial-15,different,3.0500000000000003,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
15,27-test-trial-16,same,3.36,justin_vasil.png,justin_justin.png,aligned_inverted_same,True
16,28-test-trial-17,same,2.6100000000000003,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_inverted_same,True
17,29-test-trial-18,same,4.359999999999999,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
18,30-test-trial-19,different,8.02,milota_milota.png,milota_saskie.png,aligned_inverted_same,False
19,31-test-trial-20,same,3.9299999999999997,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
20,32-test-trial-21,same,2.7200000000000006,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,True
21,33-test-trial-22,different,2.3900000000000006,carol_brenda.png,carol_carol.png,aligned_inverted_same,False
22,34-test-trial-23,same,6.32,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
23,35-test-trial-24,same,11.88,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_same,True
24,36-test-trial-25,different,3.6999999999999997,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,True
25,37-test-trial-26,different,4.9,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
26,38-test-trial-27,same,7.18,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
27,39-test-trial-28,different,3.8099999999999996,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,False
28,40-test-trial-29,different,1.5199999999999996,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,False
29,41-test-trial-30,different,1.4199999999999995,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,False
30,42-test-trial-31,same,3.3899999999999997,edita_debra.png,edita_edita.png,aligned_inverted_same,True
31,43-test-trial-32,different,1.5300000000000002,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
32,44-test-trial-33,same,3.94,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
33,45-test-trial-34,same,2.5,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
34,46-test-trial-35,different,1.8599999999999999,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,True
35,47-test-trial-36,same,2.7199999999999998,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,False
