,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.5,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
1,13-test-trial-2,different,5.9,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,False
2,14-test-trial-3,different,0.0,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,False
3,15-test-trial-4,same,0.3999999999999999,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
4,16-test-trial-5,different,8.9,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,False
5,17-test-trial-6,same,5.5,stela_lea.png,stela_stela.png,misaligned_inverted_same,True
6,18-test-trial-7,same,2.6999999999999997,vladena_margita.png,margita_vladena.png,aligned_inverted_different,False
7,19-test-trial-8,same,0.7999999999999998,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
8,20-test-trial-9,same,23.0,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,False
9,21-test-trial-10,same,3.4,lea_lea.png,lea_stela.png,aligned_inverted_same,True
10,22-test-trial-11,same,2.5,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
11,23-test-trial-12,different,5.800000000000001,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,False
12,24-test-trial-13,different,2.6,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,False
13,25-test-trial-14,same,3.6,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
14,26-test-trial-15,same,1.2000000000000002,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,False
15,27-test-trial-16,same,0.20000000000000018,linda_jindriska.png,linda_linda.png,aligned_inverted_same,True
16,28-test-trial-17,same,0.20000000000000018,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
17,29-test-trial-18,same,2.8000000000000003,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,False
18,30-test-trial-19,same,3.6,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
19,31-test-trial-20,different,1.2999999999999998,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
20,32-test-trial-21,same,2.1000000000000005,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
21,33-test-trial-22,same,1.9,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
22,34-test-trial-23,same,2.9000000000000004,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
23,35-test-trial-24,same,3.0,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,False
24,36-test-trial-25,same,10.200000000000001,carol_brenda.png,brenda_carol.png,aligned_inverted_different,False
25,37-test-trial-26,same,3.7,edita_debra.png,edita_edita.png,misaligned_inverted_same,True
26,38-test-trial-27,same,4.5,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
27,39-test-trial-28,same,19.7,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,False
28,40-test-trial-29,same,1.5,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
29,41-test-trial-30,same,3.6,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
30,42-test-trial-31,different,0.71,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
31,43-test-trial-32,same,3.2,debra_debra.png,debra_edita.png,aligned_inverted_same,True
32,44-test-trial-33,different,1.5999999999999996,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
33,45-test-trial-34,different,1.2999999999999998,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,True
34,46-test-trial-35,same,3.9999999999999996,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
35,47-test-trial-36,same,2.3,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
