,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.17,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,False
1,13-test-trial-2,different,3.7399999999999998,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,True
2,14-test-trial-3,different,3.1799999999999997,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,False
3,15-test-trial-4,different,1.0899999999999999,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
4,16-test-trial-5,different,0.43999999999999995,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
5,17-test-trial-6,same,0.33000000000000007,elias_prokop.png,elias_elias.png,aligned_inverted_same,True
6,18-test-trial-7,same,0.10000000000000009,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
7,19-test-trial-8,different,0.6600000000000001,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,False
8,20-test-trial-9,same,0.11000000000000032,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
9,21-test-trial-10,different,0.1200000000000001,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,False
10,22-test-trial-11,different,0.6499999999999995,lea_lea.png,lea_stela.png,misaligned_inverted_same,False
11,23-test-trial-12,same,4.709999999999999,miriama_livia.png,livia_miriama.png,aligned_inverted_different,False
12,24-test-trial-13,same,1.2100000000000004,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
13,25-test-trial-14,same,0.21999999999999975,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
14,26-test-trial-15,same,0.43999999999999995,vladena_margita.png,margita_vladena.png,aligned_inverted_different,False
15,27-test-trial-16,same,0.8699999999999997,josef_maxim.png,maxim_josef.png,aligned_inverted_different,False
16,28-test-trial-17,same,1.1,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
17,29-test-trial-18,different,0.5500000000000003,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,False
18,30-test-trial-19,different,0.43999999999999995,justin_vasil.png,justin_justin.png,misaligned_inverted_same,False
19,31-test-trial-20,different,0.1200000000000001,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,False
20,32-test-trial-21,different,2.84,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,False
21,33-test-trial-22,same,0.0,viola_peggy.png,viola_viola.png,aligned_inverted_same,True
22,34-test-trial-23,same,0.10999999999999988,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
23,35-test-trial-24,different,0.11000000000000032,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
24,36-test-trial-25,different,0.10999999999999988,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,False
25,37-test-trial-26,different,0.33000000000000007,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,False
26,38-test-trial-27,same,1.2199999999999998,stela_lea.png,stela_stela.png,aligned_inverted_same,True
27,39-test-trial-28,same,0.4500000000000002,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
28,40-test-trial-29,different,0.43999999999999995,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,False
29,41-test-trial-30,different,0.43000000000000016,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,True
30,42-test-trial-31,different,1.08,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,False
31,43-test-trial-32,same,0.43999999999999995,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,False
32,44-test-trial-33,same,0.33000000000000007,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
33,45-test-trial-34,same,0.5499999999999998,milota_milota.png,milota_saskie.png,aligned_inverted_same,True
34,46-test-trial-35,different,0.33000000000000007,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,True
35,47-test-trial-36,different,0.56,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
