,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,2.1099999999999994,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
1,13-test-trial-2,same,1.4100000000000001,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
2,14-test-trial-3,same,1.6,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
3,15-test-trial-4,different,2.71,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,False
4,16-test-trial-5,same,1.2999999999999998,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,True
5,17-test-trial-6,same,2.5,tomasi_tomasi.png,tomasi_henrich.png,misaligned_inverted_same,True
6,18-test-trial-7,same,1.9000000000000004,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,False
7,19-test-trial-8,different,2.81,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,True
8,20-test-trial-9,same,2.3000000000000003,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
9,21-test-trial-10,different,1.6100000000000003,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,True
10,22-test-trial-11,different,7.319999999999999,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
11,23-test-trial-12,same,4.41,carol_brenda.png,brenda_carol.png,aligned_inverted_different,False
12,24-test-trial-13,different,3.31,henrich_tomasi.png,henrich_henrich.png,aligned_inverted_same,False
13,25-test-trial-14,same,3.71,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,False
14,26-test-trial-15,different,4.710000000000001,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,False
15,27-test-trial-16,same,3.0100000000000002,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,True
16,28-test-trial-17,different,2.4200000000000004,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,False
17,29-test-trial-18,same,4.109999999999999,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,True
18,30-test-trial-19,same,4.3100000000000005,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,False
19,31-test-trial-20,same,8.02,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,True
20,32-test-trial-21,different,4.01,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,False
21,33-test-trial-22,different,7.620000000000001,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,False
22,34-test-trial-23,different,5.51,perla_perla.png,perla_viktoria.png,aligned_inverted_same,False
23,35-test-trial-24,same,2.81,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,False
24,36-test-trial-25,different,6.720000000000001,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,False
25,37-test-trial-26,same,2.9099999999999997,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,True
26,38-test-trial-27,same,8.22,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,False
27,39-test-trial-28,different,6.42,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,False
28,40-test-trial-29,same,9.63,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
29,41-test-trial-30,same,6.220000000000001,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
30,42-test-trial-31,same,1.0999999999999996,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
31,43-test-trial-32,same,1.3000000000000003,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
32,44-test-trial-33,same,6.21,stela_lea.png,lea_stela.png,aligned_inverted_different,False
33,45-test-trial-34,same,4.3100000000000005,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
34,46-test-trial-35,different,5.41,edita_debra.png,debra_edita.png,aligned_inverted_different,True
35,47-test-trial-36,same,1.7999999999999998,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
