,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,7.9,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
1,13-test-trial-2,different,1.1999999999999997,justin_vasil.png,justin_justin.png,misaligned_inverted_same,False
2,14-test-trial-3,different,2.4000000000000004,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,True
3,15-test-trial-4,same,7.9,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
4,16-test-trial-5,different,8.4,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
5,17-test-trial-6,different,2.1,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,True
6,18-test-trial-7,same,6.4,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,True
7,19-test-trial-8,same,4.8,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,True
8,20-test-trial-9,different,5.6,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,False
9,21-test-trial-10,same,3.5999999999999996,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
10,22-test-trial-11,different,8.6,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,False
11,23-test-trial-12,same,2.9000000000000004,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
12,24-test-trial-13,different,2.3000000000000003,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,False
13,25-test-trial-14,same,3.3,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,True
14,26-test-trial-15,same,4.4,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
15,27-test-trial-16,different,5.4,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,False
16,28-test-trial-17,different,6.5,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,False
17,29-test-trial-18,different,9.6,livia_livia.png,livia_miriama.png,misaligned_inverted_same,False
18,30-test-trial-19,different,6.199999999999999,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,False
19,31-test-trial-20,same,2.1,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
20,32-test-trial-21,different,4.5,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,True
21,33-test-trial-22,different,8.4,henrich_tomasi.png,tomasi_henrich.png,misaligned_inverted_different,True
22,34-test-trial-23,different,0.8999999999999999,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
23,35-test-trial-24,same,2.0,debra_debra.png,debra_edita.png,aligned_inverted_same,True
24,36-test-trial-25,different,1.7999999999999998,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,True
25,37-test-trial-26,same,7.199999999999999,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
26,38-test-trial-27,same,2.9,saskie_milota.png,milota_saskie.png,misaligned_inverted_different,False
27,39-test-trial-28,different,1.9000000000000004,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,False
28,40-test-trial-29,different,1.2999999999999998,stela_lea.png,lea_stela.png,aligned_inverted_different,True
29,41-test-trial-30,same,2.2,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,True
30,42-test-trial-31,different,2.5,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
31,43-test-trial-32,same,2.4,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,True
32,44-test-trial-33,different,0.7999999999999998,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
33,45-test-trial-34,same,6.4,edita_debra.png,edita_edita.png,misaligned_inverted_same,True
34,46-test-trial-35,different,3.4000000000000004,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
35,47-test-trial-36,same,1.7999999999999998,josef_maxim.png,josef_josef.png,aligned_inverted_same,True
