,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.8999999999999995,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,False
1,13-test-trial-2,same,0.7999999999999998,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
2,14-test-trial-3,same,3.3,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
3,15-test-trial-4,same,1.2999999999999998,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,False
4,16-test-trial-5,different,1.5,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,True
5,17-test-trial-6,different,2.7,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,False
6,18-test-trial-7,same,2.0999999999999996,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
7,19-test-trial-8,same,0.19999999999999973,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
8,20-test-trial-9,same,1.5,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,True
9,21-test-trial-10,same,0.2999999999999998,edita_debra.png,edita_edita.png,aligned_inverted_same,True
10,22-test-trial-11,same,3.3,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
11,23-test-trial-12,same,2.3999999999999995,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
12,24-test-trial-13,same,0.2999999999999998,margita_margita.png,margita_vladena.png,misaligned_inverted_same,True
13,25-test-trial-14,same,2.5999999999999996,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,True
14,26-test-trial-15,same,6.3,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
15,27-test-trial-16,different,2.1999999999999997,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,False
16,28-test-trial-17,different,1.6,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,False
17,29-test-trial-18,same,1.1999999999999997,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,True
18,30-test-trial-19,same,2.6999999999999997,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
19,31-test-trial-20,different,4.4,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,True
20,32-test-trial-21,same,1.0,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,True
21,33-test-trial-22,same,1.4,stela_lea.png,lea_stela.png,misaligned_inverted_different,False
22,34-test-trial-23,same,54.6,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
23,35-test-trial-24,same,1.1999999999999997,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
24,36-test-trial-25,same,0.0,justin_vasil.png,vasil_justin.png,aligned_inverted_different,False
25,37-test-trial-26,different,1.0,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
26,38-test-trial-27,same,1.5999999999999996,viola_peggy.png,peggy_viola.png,aligned_inverted_different,False
27,39-test-trial-28,same,1.9,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
28,40-test-trial-29,same,3.7,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
29,41-test-trial-30,same,2.1999999999999997,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
30,42-test-trial-31,same,8.7,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,False
31,43-test-trial-32,same,1.6999999999999997,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
32,44-test-trial-33,same,1.6999999999999997,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
33,45-test-trial-34,same,1.1999999999999997,josef_maxim.png,josef_josef.png,aligned_inverted_same,True
34,46-test-trial-35,same,0.2999999999999998,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,False
35,47-test-trial-36,same,2.4,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,False
