,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.5,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,True
1,13-test-trial-2,different,8.5,justin_vasil.png,vasil_justin.png,aligned_inverted_different,True
2,14-test-trial-3,same,9.0,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,False
3,15-test-trial-4,same,2.5999999999999996,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
4,16-test-trial-5,same,1.0,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
5,17-test-trial-6,same,7.300000000000001,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
6,18-test-trial-7,same,8.8,elias_prokop.png,elias_elias.png,aligned_inverted_same,True
7,19-test-trial-8,same,4.2,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,False
8,20-test-trial-9,same,2.0,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,True
9,21-test-trial-10,same,2.8999999999999995,lea_lea.png,lea_stela.png,aligned_inverted_same,True
10,22-test-trial-11,same,1.2999999999999998,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
11,23-test-trial-12,same,1.6,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,True
12,24-test-trial-13,different,2.0999999999999996,henrich_tomasi.png,tomasi_henrich.png,misaligned_inverted_different,True
13,25-test-trial-14,same,2.6,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,False
14,26-test-trial-15,same,3.4999999999999996,saskie_milota.png,milota_saskie.png,misaligned_inverted_different,False
15,27-test-trial-16,different,1.7000000000000002,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
16,28-test-trial-17,same,2.1,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_inverted_same,True
17,29-test-trial-18,different,6.3,prokop_prokop.png,prokop_elias.png,misaligned_inverted_same,False
18,30-test-trial-19,same,2.9,stela_lea.png,stela_stela.png,misaligned_inverted_same,True
19,31-test-trial-20,same,4.2,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_same,True
20,32-test-trial-21,different,1.2000000000000002,edita_debra.png,debra_edita.png,aligned_inverted_different,True
21,33-test-trial-22,same,1.8000000000000003,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
22,34-test-trial-23,different,3.0999999999999996,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,True
23,35-test-trial-24,same,1.2999999999999998,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
24,36-test-trial-25,different,1.1999999999999997,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,True
25,37-test-trial-26,same,2.6999999999999997,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,True
26,38-test-trial-27,same,2.3000000000000003,josef_maxim.png,josef_josef.png,aligned_inverted_same,True
27,39-test-trial-28,same,3.1999999999999997,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
28,40-test-trial-29,same,0.8999999999999999,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
29,41-test-trial-30,same,4.300000000000001,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
30,42-test-trial-31,same,0.9000000000000004,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
31,43-test-trial-32,same,1.8000000000000003,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
32,44-test-trial-33,same,0.7999999999999998,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
33,45-test-trial-34,different,1.4999999999999996,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,True
34,46-test-trial-35,different,9.1,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,True
35,47-test-trial-36,different,5.7,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,False
