,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.8,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
1,13-test-trial-2,same,3.1,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
2,14-test-trial-3,different,1.9,lea_lea.png,lea_stela.png,aligned_inverted_same,False
3,15-test-trial-4,different,4.9,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
4,16-test-trial-5,different,4.3,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
5,17-test-trial-6,same,3.3999999999999995,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
6,18-test-trial-7,different,2.5,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
7,19-test-trial-8,different,8.399999999999999,henrich_tomasi.png,tomasi_henrich.png,misaligned_inverted_different,True
8,20-test-trial-9,different,4.300000000000001,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
9,21-test-trial-10,same,1.6999999999999997,stela_lea.png,stela_stela.png,misaligned_inverted_same,True
10,22-test-trial-11,same,0.9000000000000004,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
11,23-test-trial-12,same,1.6,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,True
12,24-test-trial-13,same,1.5999999999999996,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
13,25-test-trial-14,same,6.8999999999999995,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,False
14,26-test-trial-15,different,2.0999999999999996,debra_debra.png,debra_edita.png,misaligned_inverted_same,False
15,27-test-trial-16,same,3.1,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,False
16,28-test-trial-17,same,3.3,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
17,29-test-trial-18,different,2.3999999999999995,edita_debra.png,edita_edita.png,aligned_inverted_same,False
18,30-test-trial-19,different,2.4,viola_peggy.png,peggy_viola.png,aligned_inverted_different,True
19,31-test-trial-20,same,1.2999999999999998,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
20,32-test-trial-21,different,0.7999999999999998,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
21,33-test-trial-22,same,1.4999999999999996,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
22,34-test-trial-23,same,0.8999999999999999,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
23,35-test-trial-24,same,2.0,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
24,36-test-trial-25,same,1.4999999999999996,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
25,37-test-trial-26,same,1.1,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
26,38-test-trial-27,different,2.5,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,True
27,39-test-trial-28,same,1.4999999999999996,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,True
28,40-test-trial-29,different,1.6,saskie_milota.png,milota_saskie.png,misaligned_inverted_different,True
29,41-test-trial-30,different,0.7999999999999998,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
30,42-test-trial-31,different,9.899999999999999,elias_prokop.png,elias_elias.png,misaligned_inverted_same,False
31,43-test-trial-32,same,4.5,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
32,44-test-trial-33,same,6.999999999999999,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
33,45-test-trial-34,different,8.2,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,False
34,46-test-trial-35,different,3.3,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,False
35,47-test-trial-36,same,7.1000000000000005,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
