,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,6.989999999999999,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
1,13-test-trial-2,same,1.1900000000000004,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
2,14-test-trial-3,different,5.5,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
3,15-test-trial-4,different,4.2,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
4,16-test-trial-5,same,7.590000000000001,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,True
5,17-test-trial-6,different,7.6,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,True
6,18-test-trial-7,different,6.5,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,False
7,19-test-trial-8,same,2.2,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
8,20-test-trial-9,same,2.2,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,False
9,21-test-trial-10,same,1.2000000000000002,viola_peggy.png,viola_viola.png,aligned_inverted_same,True
10,22-test-trial-11,same,1.4100000000000001,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
11,23-test-trial-12,same,3.0999999999999996,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,False
12,24-test-trial-13,same,2.4,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,True
13,25-test-trial-14,same,1.1,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
14,26-test-trial-15,same,3.0100000000000002,elena_eleanora.png,elena_elena.png,misaligned_inverted_same,True
15,27-test-trial-16,same,1.9000000000000004,andrej_drahomir.png,drahomir_andrej.png,aligned_inverted_different,False
16,28-test-trial-17,same,1.7999999999999998,carol_brenda.png,brenda_carol.png,aligned_inverted_different,False
17,29-test-trial-18,same,2.9000000000000004,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
18,30-test-trial-19,different,4.290000000000001,justin_vasil.png,justin_justin.png,aligned_inverted_same,False
19,31-test-trial-20,different,2.5,lea_lea.png,lea_stela.png,misaligned_inverted_same,False
20,32-test-trial-21,same,2.999999999999999,margita_margita.png,margita_vladena.png,misaligned_inverted_same,True
21,33-test-trial-22,different,2.7,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,False
22,34-test-trial-23,same,3.3,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,False
23,35-test-trial-24,different,1.2999999999999998,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,False
24,36-test-trial-25,different,1.4999999999999996,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
25,37-test-trial-26,different,8.3,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,False
26,38-test-trial-27,different,1.1099999999999999,stela_lea.png,stela_stela.png,aligned_inverted_same,False
27,39-test-trial-28,different,0.3999999999999999,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,False
28,40-test-trial-29,same,6.9,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,False
29,41-test-trial-30,same,2.9000000000000004,eleanora_eleanora.png,eleanora_elena.png,aligned_inverted_same,True
30,42-test-trial-31,different,4.510000000000001,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,False
31,43-test-trial-32,same,1.7000000000000002,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
32,44-test-trial-33,different,5.3100000000000005,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,False
33,45-test-trial-34,same,7.1,zelmira_gabriela.png,gabriela_zelmira.png,aligned_inverted_different,False
34,46-test-trial-35,different,4.4,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,False
35,47-test-trial-36,same,2.3,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,True
