,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,51.3,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,True
1,13-test-trial-2,same,28.0,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,True
2,14-test-trial-3,same,27.5,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
3,15-test-trial-4,different,5.700000000000001,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
4,16-test-trial-5,same,4.2,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
5,17-test-trial-6,same,3.4000000000000004,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
6,18-test-trial-7,same,4.8,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,False
7,19-test-trial-8,different,4.7,saskie_milota.png,milota_saskie.png,aligned_inverted_different,True
8,20-test-trial-9,same,2.7,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,True
9,21-test-trial-10,different,11.1,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,False
10,22-test-trial-11,different,0.8999999999999995,vladena_margita.png,margita_vladena.png,misaligned_inverted_different,True
11,23-test-trial-12,different,1.6999999999999997,elena_eleanora.png,elena_elena.png,aligned_inverted_same,False
12,24-test-trial-13,same,0.5,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,False
13,25-test-trial-14,different,0.5,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,False
14,26-test-trial-15,same,17.4,miriama_livia.png,livia_miriama.png,aligned_inverted_different,False
15,27-test-trial-16,same,4.199999999999999,edita_debra.png,edita_edita.png,aligned_inverted_same,True
16,28-test-trial-17,same,0.7000000000000002,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,False
17,29-test-trial-18,same,6.800000000000001,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
18,30-test-trial-19,same,0.6999999999999997,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,True
19,31-test-trial-20,same,6.0,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,True
20,32-test-trial-21,same,4.800000000000001,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
21,33-test-trial-22,same,0.6000000000000001,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
22,34-test-trial-23,different,4.1,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
23,35-test-trial-24,different,1.0,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
24,36-test-trial-25,same,5.9,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
25,37-test-trial-26,different,6.800000000000001,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,False
26,38-test-trial-27,same,2.4999999999999996,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,True
27,39-test-trial-28,different,5.4,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
28,40-test-trial-29,same,2.2,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
29,41-test-trial-30,different,4.4,aurel_cenek.png,cenek_aurel.png,misaligned_inverted_different,True
30,42-test-trial-31,different,3.5200000000000005,viola_peggy.png,viola_viola.png,aligned_inverted_same,False
31,43-test-trial-32,same,4.9,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
32,44-test-trial-33,same,7.800000000000001,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
33,45-test-trial-34,same,4.1,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
34,46-test-trial-35,different,0.3999999999999999,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,False
35,47-test-trial-36,same,0.8999999999999999,linda_jindriska.png,linda_linda.png,aligned_inverted_same,True
