,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.2,margita_margita.png,margita_vladena.png,misaligned_inverted_same,True
1,13-test-trial-2,same,6.1,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
2,14-test-trial-3,different,8.1,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
3,15-test-trial-4,different,3.3,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
4,16-test-trial-5,same,7.4,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
5,17-test-trial-6,different,3.0999999999999996,bretislav_bystrik.png,bystrik_bretislav.png,aligned_inverted_different,True
6,18-test-trial-7,same,4.4,edita_debra.png,edita_edita.png,aligned_inverted_same,True
7,19-test-trial-8,same,6.200000000000001,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
8,20-test-trial-9,same,5.2,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
9,21-test-trial-10,same,7.699999999999999,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
10,22-test-trial-11,same,7.3,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
11,23-test-trial-12,same,4.7,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,True
12,24-test-trial-13,same,2.4000000000000004,henrich_tomasi.png,henrich_henrich.png,aligned_inverted_same,True
13,25-test-trial-14,same,2.0999999999999996,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_inverted_same,True
14,26-test-trial-15,different,3.0,viola_peggy.png,peggy_viola.png,aligned_inverted_different,True
15,27-test-trial-16,different,0.7999999999999998,miriama_livia.png,livia_miriama.png,misaligned_inverted_different,True
16,28-test-trial-17,same,10.700000000000001,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,True
17,29-test-trial-18,same,7.5,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
18,30-test-trial-19,different,5.5,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
19,31-test-trial-20,same,16.8,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
20,32-test-trial-21,different,0.0,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
21,33-test-trial-22,same,1.6999999999999997,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
22,34-test-trial-23,same,5.5,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
23,35-test-trial-24,same,5.3999999999999995,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
24,36-test-trial-25,different,8.8,josef_maxim.png,maxim_josef.png,misaligned_inverted_different,True
25,37-test-trial-26,same,4.1,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
26,38-test-trial-27,different,2.5,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,True
27,39-test-trial-28,same,0.5,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
28,40-test-trial-29,same,6.6,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_same,True
29,41-test-trial-30,same,1.7000000000000002,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,True
30,42-test-trial-31,different,8.1,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
31,43-test-trial-32,different,9.9,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,True
32,44-test-trial-33,different,11.2,viktoria_perla.png,perla_viktoria.png,aligned_inverted_different,True
33,45-test-trial-34,same,10.9,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
34,46-test-trial-35,same,0.7999999999999998,tomasi_tomasi.png,tomasi_henrich.png,misaligned_inverted_same,True
35,47-test-trial-36,same,2.3000000000000003,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
