,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,13.5,bernard_rehor.png,bernard_bernard.png,aligned_inverted_same,False
1,13-test-trial-2,same,1.7999999999999998,viola_peggy.png,viola_viola.png,aligned_inverted_same,True
2,14-test-trial-3,same,1.6000000000000005,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
3,15-test-trial-4,same,1.7999999999999998,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
4,16-test-trial-5,different,2.5999999999999996,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,False
5,17-test-trial-6,same,1.5,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,True
6,18-test-trial-7,same,6.3999999999999995,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,False
7,19-test-trial-8,different,9.8,justin_vasil.png,vasil_justin.png,aligned_inverted_different,True
8,20-test-trial-9,same,3.9999999999999996,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
9,21-test-trial-10,different,5.499999999999999,peggy_peggy.png,peggy_viola.png,misaligned_inverted_same,False
10,22-test-trial-11,same,2.3,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,False
11,23-test-trial-12,different,2.0999999999999996,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,False
12,24-test-trial-13,same,5.499999999999999,saskie_milota.png,milota_saskie.png,misaligned_inverted_different,False
13,25-test-trial-14,different,2.0999999999999996,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,True
14,26-test-trial-15,same,2.1000000000000005,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,False
15,27-test-trial-16,same,5.7,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
16,28-test-trial-17,same,0.7999999999999998,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
17,29-test-trial-18,different,1.6,josef_maxim.png,josef_josef.png,misaligned_inverted_same,False
18,30-test-trial-19,different,1.6999999999999997,rehor_rehor.png,rehor_bernard.png,misaligned_inverted_same,False
19,31-test-trial-20,same,1.0,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
20,32-test-trial-21,different,3.8999999999999995,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,True
21,33-test-trial-22,same,1.5,brenda_brenda.png,brenda_carol.png,aligned_inverted_same,True
22,34-test-trial-23,same,1.4000000000000004,livia_livia.png,livia_miriama.png,aligned_inverted_same,True
23,35-test-trial-24,same,1.0999999999999996,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,False
24,36-test-trial-25,different,1.1999999999999997,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
25,37-test-trial-26,same,6.8,stela_lea.png,stela_stela.png,aligned_inverted_same,True
26,38-test-trial-27,different,0.8900000000000001,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
27,39-test-trial-28,same,0.8999999999999999,carol_brenda.png,carol_carol.png,misaligned_inverted_same,True
28,40-test-trial-29,same,2.2,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
29,41-test-trial-30,same,5.8,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,False
30,42-test-trial-31,different,2.3,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,False
31,43-test-trial-32,different,1.5,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,False
32,44-test-trial-33,different,1.5900000000000003,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,False
33,45-test-trial-34,same,1.2999999999999998,henrich_tomasi.png,tomasi_henrich.png,misaligned_inverted_different,False
34,46-test-trial-35,different,1.6000000000000005,miriama_livia.png,miriama_miriama.png,misaligned_inverted_same,False
35,47-test-trial-36,different,1.9000000000000004,margita_margita.png,margita_vladena.png,misaligned_inverted_same,False
