,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.2,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
1,13-test-trial-2,same,1.7999999999999998,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,True
2,14-test-trial-3,same,4.3,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
3,15-test-trial-4,same,2.3,josef_maxim.png,josef_josef.png,misaligned_inverted_same,True
4,16-test-trial-5,same,1.1999999999999997,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
5,17-test-trial-6,same,4.8,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
6,18-test-trial-7,different,2.6,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
7,19-test-trial-8,same,3.3,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
8,20-test-trial-9,different,1.7999999999999998,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
9,21-test-trial-10,same,1.3999999999999995,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
10,22-test-trial-11,different,1.5,stela_lea.png,lea_stela.png,aligned_inverted_different,True
11,23-test-trial-12,different,1.8000000000000003,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,True
12,24-test-trial-13,same,1.4999999999999996,viola_peggy.png,peggy_viola.png,aligned_inverted_different,False
13,25-test-trial-14,different,2.0,bernard_rehor.png,rehor_bernard.png,aligned_inverted_different,True
14,26-test-trial-15,same,1.7999999999999998,lumir_vladislav.png,lumir_lumir.png,aligned_inverted_same,True
15,27-test-trial-16,same,3.1,carol_brenda.png,carol_carol.png,aligned_inverted_same,True
16,28-test-trial-17,same,3.2,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,True
17,29-test-trial-18,same,1.8999999999999995,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
18,30-test-trial-19,different,1.7000000000000002,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,True
19,31-test-trial-20,same,2.3,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
20,32-test-trial-21,different,1.2000000000000002,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,True
21,33-test-trial-22,same,1.2999999999999998,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
22,34-test-trial-23,same,1.1999999999999997,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_same,True
23,35-test-trial-24,different,2.0999999999999996,vladislav_vladislav.png,vladislav_lumir.png,misaligned_inverted_same,False
24,36-test-trial-25,same,1.2999999999999998,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
25,37-test-trial-26,different,2.1,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
26,38-test-trial-27,different,1.7999999999999998,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,True
27,39-test-trial-28,same,1.2999999999999998,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,True
28,40-test-trial-29,different,1.5999999999999996,saskie_milota.png,milota_saskie.png,aligned_inverted_different,True
29,41-test-trial-30,different,3.0,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_inverted_same,False
30,42-test-trial-31,same,1.4000000000000004,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
31,43-test-trial-32,same,0.7999999999999998,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
32,44-test-trial-33,different,1.6999999999999997,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
33,45-test-trial-34,same,1.3999999999999995,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
34,46-test-trial-35,same,1.1999999999999997,brenda_brenda.png,brenda_carol.png,misaligned_inverted_same,True
35,47-test-trial-36,different,1.6999999999999997,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,False
