,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,5.3,jindriska_jindriska.png,jindriska_linda.png,aligned_inverted_same,False
1,13-test-trial-2,same,5.300000000000001,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
2,14-test-trial-3,different,5.5,milota_milota.png,milota_saskie.png,aligned_inverted_same,False
3,15-test-trial-4,same,11.700000000000001,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
4,16-test-trial-5,same,3.8000000000000003,tomasi_tomasi.png,tomasi_henrich.png,aligned_inverted_same,True
5,17-test-trial-6,different,14.200000000000001,linda_jindriska.png,linda_linda.png,misaligned_inverted_same,False
6,18-test-trial-7,same,9.5,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,False
7,19-test-trial-8,different,8.9,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,False
8,20-test-trial-9,different,4.1,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,False
9,21-test-trial-10,same,9.200000000000001,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
10,22-test-trial-11,same,1.1000000000000005,henrich_tomasi.png,henrich_henrich.png,misaligned_inverted_same,True
11,23-test-trial-12,different,10.600000000000001,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,False
12,24-test-trial-13,different,7.9,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
13,25-test-trial-14,same,2.3000000000000003,vladena_margita.png,margita_vladena.png,aligned_inverted_different,False
14,26-test-trial-15,different,15.799999999999999,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
15,27-test-trial-16,different,2.0,saskie_milota.png,saskie_saskie.png,misaligned_inverted_same,False
16,28-test-trial-17,different,6.4,edita_debra.png,debra_edita.png,misaligned_inverted_different,True
17,29-test-trial-18,same,7.300000000000001,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
18,30-test-trial-19,different,5.2,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
19,31-test-trial-20,same,11.4,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
20,32-test-trial-21,same,3.6000000000000005,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
21,33-test-trial-22,different,8.0,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,False
22,34-test-trial-23,different,2.9999999999999996,stela_lea.png,lea_stela.png,misaligned_inverted_different,True
23,35-test-trial-24,different,1.8000000000000003,elena_eleanora.png,elena_elena.png,aligned_inverted_same,False
24,36-test-trial-25,different,14.8,elias_prokop.png,prokop_elias.png,misaligned_inverted_different,True
25,37-test-trial-26,different,1.4,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,False
26,38-test-trial-27,same,6.3,miriama_livia.png,livia_miriama.png,aligned_inverted_different,False
27,39-test-trial-28,different,12.4,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,False
28,40-test-trial-29,same,3.9999999999999996,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
29,41-test-trial-30,same,0.3999999999999999,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
30,42-test-trial-31,same,0.6000000000000005,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,False
31,43-test-trial-32,same,3.6999999999999997,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
32,44-test-trial-33,same,0.10000000000000009,dominik_hynek.png,hynek_dominik.png,aligned_inverted_different,False
33,45-test-trial-34,same,0.3999999999999999,ursula_sidonia.png,sidonia_ursula.png,aligned_inverted_different,False
34,46-test-trial-35,same,0.19999999999999973,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
35,47-test-trial-36,same,0.5,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,True
