,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,6.200000000000001,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,True
1,13-test-trial-2,different,11.5,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
2,14-test-trial-3,same,8.9,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
3,15-test-trial-4,same,8.1,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,True
4,16-test-trial-5,same,15.100000000000001,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,False
5,17-test-trial-6,different,69.6,oleg_tichomir.png,tichomir_oleg.png,misaligned_inverted_different,True
6,18-test-trial-7,same,38.7,vladena_margita.png,margita_vladena.png,aligned_inverted_different,False
7,19-test-trial-8,same,13.999999999999998,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,False
8,20-test-trial-9,same,9.6,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
9,21-test-trial-10,same,9.1,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
10,22-test-trial-11,same,25.5,dominik_hynek.png,hynek_dominik.png,misaligned_inverted_different,False
11,23-test-trial-12,same,4.300000000000001,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
12,24-test-trial-13,same,3.3,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
13,25-test-trial-14,same,5.9,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
14,26-test-trial-15,same,4.699999999999999,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,True
15,27-test-trial-16,same,2.1,miriama_livia.png,miriama_miriama.png,aligned_inverted_same,True
16,28-test-trial-17,same,2.9999999999999996,justin_vasil.png,justin_justin.png,aligned_inverted_same,True
17,29-test-trial-18,same,3.7,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
18,30-test-trial-19,same,0.3999999999999999,lea_lea.png,lea_stela.png,aligned_inverted_same,True
19,31-test-trial-20,same,9.4,edita_debra.png,debra_edita.png,misaligned_inverted_different,False
20,32-test-trial-21,same,17.1,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,True
21,33-test-trial-22,same,5.0,linda_jindriska.png,linda_linda.png,aligned_inverted_same,True
22,34-test-trial-23,same,0.7999999999999998,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
23,35-test-trial-24,same,2.4999999999999996,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
24,36-test-trial-25,same,13.5,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,True
25,37-test-trial-26,same,36.6,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
26,38-test-trial-27,same,0.7000000000000002,stela_lea.png,stela_stela.png,misaligned_inverted_same,True
27,39-test-trial-28,different,12.2,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,True
28,40-test-trial-29,same,7.1,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,False
29,41-test-trial-30,different,6.5,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
30,42-test-trial-31,same,11.9,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,True
31,43-test-trial-32,same,23.5,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
32,44-test-trial-33,same,7.800000000000001,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
33,45-test-trial-34,same,0.6999999999999997,livia_livia.png,livia_miriama.png,misaligned_inverted_same,True
34,46-test-trial-35,same,23.599999999999998,ursula_sidonia.png,sidonia_ursula.png,misaligned_inverted_different,False
35,47-test-trial-36,same,6.0,josef_maxim.png,josef_josef.png,aligned_inverted_same,True
