,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.5,debra_debra.png,debra_edita.png,aligned_inverted_same,True
1,13-test-trial-2,same,4.0,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,True
2,14-test-trial-3,same,1.4,justin_vasil.png,justin_justin.png,misaligned_inverted_same,True
3,15-test-trial-4,same,2.7,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,True
4,16-test-trial-5,same,0.30000000000000027,bystrik_bystrik.png,bystrik_bretislav.png,aligned_inverted_same,True
5,17-test-trial-6,different,1.0,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,True
6,18-test-trial-7,different,0.29000000000000004,stela_lea.png,lea_stela.png,aligned_inverted_different,True
7,19-test-trial-8,same,7.2,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,False
8,20-test-trial-9,different,0.6999999999999997,aurel_cenek.png,cenek_aurel.png,aligned_inverted_different,True
9,21-test-trial-10,same,0.5999999999999996,drahomir_drahomir.png,drahomir_andrej.png,aligned_inverted_same,True
10,22-test-trial-11,same,2.5,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
11,23-test-trial-12,same,1.7000000000000002,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
12,24-test-trial-13,same,0.19999999999999973,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_inverted_same,True
13,25-test-trial-14,same,1.7000000000000002,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
14,26-test-trial-15,same,0.2999999999999998,linda_jindriska.png,linda_linda.png,aligned_inverted_same,True
15,27-test-trial-16,different,0.5,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,True
16,28-test-trial-17,same,2.0999999999999996,vladena_margita.png,margita_vladena.png,aligned_inverted_different,False
17,29-test-trial-18,same,2.6000000000000005,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,True
18,30-test-trial-19,different,0.6999999999999997,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
19,31-test-trial-20,same,0.7999999999999998,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_inverted_same,True
20,32-test-trial-21,same,0.5,josef_maxim.png,josef_josef.png,misaligned_inverted_same,True
21,33-test-trial-22,same,0.30000000000000027,miriama_livia.png,miriama_miriama.png,misaligned_inverted_same,True
22,34-test-trial-23,different,0.40000000000000036,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
23,35-test-trial-24,same,0.19999999999999973,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
24,36-test-trial-25,same,2.8,vasil_vasil.png,vasil_justin.png,aligned_inverted_same,True
25,37-test-trial-26,same,4.5,maxim_maxim.png,maxim_josef.png,aligned_inverted_same,True
26,38-test-trial-27,different,0.6999999999999997,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
27,39-test-trial-28,same,17.3,elias_prokop.png,prokop_elias.png,aligned_inverted_different,False
28,40-test-trial-29,same,0.09999999999999964,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
29,41-test-trial-30,same,0.09999999999999964,livia_livia.png,livia_miriama.png,aligned_inverted_same,True
30,42-test-trial-31,same,0.5,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,True
31,43-test-trial-32,same,3.2,edita_debra.png,edita_edita.png,misaligned_inverted_same,True
32,44-test-trial-33,same,0.40000000000000036,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
33,45-test-trial-34,different,0.6000000000000001,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,True
34,46-test-trial-35,same,0.0,andrej_drahomir.png,andrej_andrej.png,misaligned_inverted_same,True
35,47-test-trial-36,same,8.5,gabriela_gabriela.png,gabriela_zelmira.png,aligned_inverted_same,True
