,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,8.600000000000001,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,False
1,13-test-trial-2,same,2.0999999999999996,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,True
2,14-test-trial-3,same,1.5,lea_lea.png,lea_stela.png,misaligned_inverted_same,True
3,15-test-trial-4,same,0.8999999999999999,jindriska_jindriska.png,jindriska_linda.png,misaligned_inverted_same,True
4,16-test-trial-5,same,0.7000000000000002,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
5,17-test-trial-6,different,1.9000000000000004,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
6,18-test-trial-7,same,2.2,oleg_tichomir.png,oleg_oleg.png,misaligned_inverted_same,True
7,19-test-trial-8,same,2.0,elias_prokop.png,elias_elias.png,misaligned_inverted_same,True
8,20-test-trial-9,same,0.5,debra_debra.png,debra_edita.png,misaligned_inverted_same,True
9,21-test-trial-10,same,3.4000000000000004,dominik_hynek.png,dominik_dominik.png,aligned_inverted_same,True
10,22-test-trial-11,different,2.2,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
11,23-test-trial-12,same,3.3000000000000003,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
12,24-test-trial-13,same,1.1,linda_jindriska.png,linda_linda.png,aligned_inverted_same,True
13,25-test-trial-14,same,0.19999999999999973,prokop_prokop.png,prokop_elias.png,aligned_inverted_same,True
14,26-test-trial-15,same,0.7999999999999998,stela_lea.png,stela_stela.png,aligned_inverted_same,True
15,27-test-trial-16,same,0.6000000000000001,justin_vasil.png,justin_justin.png,aligned_inverted_same,True
16,28-test-trial-17,same,3.9999999999999996,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,False
17,29-test-trial-18,same,1.2000000000000002,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,True
18,30-test-trial-19,same,0.6000000000000001,edita_debra.png,edita_edita.png,aligned_inverted_same,True
19,31-test-trial-20,same,0.6999999999999997,vasil_vasil.png,vasil_justin.png,misaligned_inverted_same,True
20,32-test-trial-21,same,1.3000000000000007,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
21,33-test-trial-22,same,0.3999999999999999,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
22,34-test-trial-23,same,0.7999999999999998,hynek_hynek.png,hynek_dominik.png,misaligned_inverted_same,True
23,35-test-trial-24,same,0.8999999999999999,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,False
24,36-test-trial-25,different,3.8,viktoria_perla.png,perla_viktoria.png,misaligned_inverted_different,True
25,37-test-trial-26,same,2.81,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
26,38-test-trial-27,same,1.6999999999999997,elena_eleanora.png,eleanora_elena.png,aligned_inverted_different,False
27,39-test-trial-28,different,1.4,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_inverted_different,True
28,40-test-trial-29,different,2.1,henrich_tomasi.png,tomasi_henrich.png,aligned_inverted_different,True
29,41-test-trial-30,different,0.8999999999999999,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
30,42-test-trial-31,same,12.299999999999999,tichomir_tichomir.png,tichomir_oleg.png,aligned_inverted_same,True
31,43-test-trial-32,same,3.5,saskie_milota.png,milota_saskie.png,aligned_inverted_different,False
32,44-test-trial-33,different,1.9000000000000004,lumir_vladislav.png,vladislav_lumir.png,aligned_inverted_different,True
33,45-test-trial-34,same,2.6,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,True
34,46-test-trial-35,same,0.6000000000000001,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
35,47-test-trial-36,different,5.6,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
