,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,4.86,saskie_milota.png,saskie_saskie.png,aligned_inverted_same,True
1,13-test-trial-2,same,2.2199999999999998,margita_margita.png,margita_vladena.png,misaligned_inverted_same,True
2,14-test-trial-3,different,3.6000000000000005,andrej_drahomir.png,drahomir_andrej.png,misaligned_inverted_different,True
3,15-test-trial-4,different,3.3,stela_lea.png,lea_stela.png,aligned_inverted_different,True
4,16-test-trial-5,same,3.5900000000000003,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
5,17-test-trial-6,same,1.8400000000000003,sidonia_sidonia.png,sidonia_ursula.png,misaligned_inverted_same,True
6,18-test-trial-7,same,4.11,justin_vasil.png,vasil_justin.png,aligned_inverted_different,False
7,19-test-trial-8,same,3.72,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
8,20-test-trial-9,same,3.4000000000000004,milota_milota.png,milota_saskie.png,misaligned_inverted_same,True
9,21-test-trial-10,same,1.8900000000000001,aurel_cenek.png,aurel_aurel.png,aligned_inverted_same,True
10,22-test-trial-11,same,1.1900000000000004,viola_peggy.png,peggy_viola.png,misaligned_inverted_different,False
11,23-test-trial-12,different,3.6999999999999997,miriama_livia.png,livia_miriama.png,aligned_inverted_different,True
12,24-test-trial-13,same,3.31,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,True
13,25-test-trial-14,different,3.23,josef_maxim.png,maxim_josef.png,aligned_inverted_different,True
14,26-test-trial-15,different,1.6999999999999997,vladislav_vladislav.png,vladislav_lumir.png,aligned_inverted_same,False
15,27-test-trial-16,different,4.1899999999999995,carol_brenda.png,brenda_carol.png,misaligned_inverted_different,True
16,28-test-trial-17,same,3.16,lumir_vladislav.png,lumir_lumir.png,misaligned_inverted_same,True
17,29-test-trial-18,same,2.6899999999999995,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
18,30-test-trial-19,same,3.0900000000000003,tichomir_tichomir.png,tichomir_oleg.png,misaligned_inverted_same,True
19,31-test-trial-20,same,1.8199999999999998,oleg_tichomir.png,oleg_oleg.png,aligned_inverted_same,True
20,32-test-trial-21,same,2.0,perla_perla.png,perla_viktoria.png,misaligned_inverted_same,True
21,33-test-trial-22,same,2.0199999999999996,cenek_cenek.png,cenek_aurel.png,misaligned_inverted_same,True
22,34-test-trial-23,same,1.42,tomasi_tomasi.png,tomasi_henrich.png,misaligned_inverted_same,True
23,35-test-trial-24,same,1.31,debra_debra.png,debra_edita.png,aligned_inverted_same,True
24,36-test-trial-25,same,1.9900000000000002,vladena_margita.png,vladena_vladena.png,aligned_inverted_same,True
25,37-test-trial-26,same,0.8599999999999999,viktoria_perla.png,viktoria_viktoria.png,aligned_inverted_same,True
26,38-test-trial-27,different,3.83,bernard_rehor.png,rehor_bernard.png,misaligned_inverted_different,True
27,39-test-trial-28,same,2.9899999999999998,elena_eleanora.png,elena_elena.png,aligned_inverted_same,True
28,40-test-trial-29,same,1.1,edita_debra.png,edita_edita.png,misaligned_inverted_same,True
29,41-test-trial-30,same,1.81,eleanora_eleanora.png,eleanora_elena.png,misaligned_inverted_same,True
30,42-test-trial-31,different,2.5200000000000005,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_inverted_different,True
31,43-test-trial-32,same,2.6899999999999995,ursula_sidonia.png,ursula_ursula.png,aligned_inverted_same,True
32,44-test-trial-33,same,3.29,henrich_tomasi.png,henrich_henrich.png,aligned_inverted_same,True
33,45-test-trial-34,different,3.41,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_inverted_different,True
34,46-test-trial-35,same,4.199999999999999,linda_jindriska.png,jindriska_linda.png,aligned_inverted_different,False
35,47-test-trial-36,different,3.8,elias_prokop.png,prokop_elias.png,aligned_inverted_different,True
