,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.2999999999999998,margita_margita.png,margita_vladena.png,aligned_inverted_same,True
1,13-test-trial-2,different,2.3000000000000003,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_inverted_same,False
2,14-test-trial-3,same,3.1,zelmira_gabriela.png,zelmira_zelmira.png,aligned_inverted_same,True
3,15-test-trial-4,same,4.3,josef_maxim.png,josef_josef.png,aligned_inverted_same,True
4,16-test-trial-5,same,1.2999999999999998,rehor_rehor.png,rehor_bernard.png,aligned_inverted_same,True
5,17-test-trial-6,same,0.6000000000000001,miriama_livia.png,miriama_miriama.png,misaligned_inverted_same,True
6,18-test-trial-7,different,2.3,drahomir_drahomir.png,drahomir_andrej.png,misaligned_inverted_same,False
7,19-test-trial-8,same,1.7999999999999998,viola_peggy.png,viola_viola.png,misaligned_inverted_same,True
8,20-test-trial-9,same,1.6999999999999997,peggy_peggy.png,peggy_viola.png,aligned_inverted_same,True
9,21-test-trial-10,same,2.4,bernard_rehor.png,bernard_bernard.png,misaligned_inverted_same,True
10,22-test-trial-11,same,1.9000000000000004,andrej_drahomir.png,andrej_andrej.png,aligned_inverted_same,True
11,23-test-trial-12,same,1.0,ursula_sidonia.png,ursula_ursula.png,misaligned_inverted_same,True
12,24-test-trial-13,same,1.0,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_inverted_same,True
13,25-test-trial-14,same,0.5,elias_prokop.png,prokop_elias.png,aligned_inverted_different,False
14,26-test-trial-15,same,1.8000000000000003,linda_jindriska.png,jindriska_linda.png,misaligned_inverted_different,False
15,27-test-trial-16,different,2.9,carol_brenda.png,brenda_carol.png,aligned_inverted_different,True
16,28-test-trial-17,different,2.3000000000000003,stela_lea.png,lea_stela.png,aligned_inverted_different,True
17,29-test-trial-18,same,2.6999999999999997,vladena_margita.png,vladena_vladena.png,misaligned_inverted_same,True
18,30-test-trial-19,different,2.2,elena_eleanora.png,eleanora_elena.png,misaligned_inverted_different,True
19,31-test-trial-20,same,3.0,oleg_tichomir.png,tichomir_oleg.png,aligned_inverted_different,False
20,32-test-trial-21,same,5.200000000000001,justin_vasil.png,vasil_justin.png,misaligned_inverted_different,False
21,33-test-trial-22,same,0.6000000000000001,bretislav_bystrik.png,bretislav_bretislav.png,aligned_inverted_same,True
22,34-test-trial-23,same,1.7999999999999998,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_inverted_different,False
23,35-test-trial-24,same,0.8999999999999999,maxim_maxim.png,maxim_josef.png,misaligned_inverted_same,True
24,36-test-trial-25,same,5.5,perla_perla.png,perla_viktoria.png,aligned_inverted_same,True
25,37-test-trial-26,different,6.0,henrich_tomasi.png,tomasi_henrich.png,misaligned_inverted_different,True
26,38-test-trial-27,same,2.5999999999999996,sidonia_sidonia.png,sidonia_ursula.png,aligned_inverted_same,True
27,39-test-trial-28,different,4.1,viktoria_perla.png,viktoria_viktoria.png,misaligned_inverted_same,False
28,40-test-trial-29,same,10.899999999999999,aurel_cenek.png,aurel_aurel.png,misaligned_inverted_same,True
29,41-test-trial-30,same,3.2,edita_debra.png,debra_edita.png,aligned_inverted_different,False
30,42-test-trial-31,same,1.2000000000000002,cenek_cenek.png,cenek_aurel.png,aligned_inverted_same,True
31,43-test-trial-32,same,2.5,livia_livia.png,livia_miriama.png,aligned_inverted_same,True
32,44-test-trial-33,same,4.300000000000001,lumir_vladislav.png,vladislav_lumir.png,misaligned_inverted_different,False
33,45-test-trial-34,same,2.3999999999999995,saskie_milota.png,milota_saskie.png,misaligned_inverted_different,False
34,46-test-trial-35,same,0.2999999999999998,hynek_hynek.png,hynek_dominik.png,aligned_inverted_same,True
35,47-test-trial-36,same,0.6000000000000001,dominik_hynek.png,dominik_dominik.png,misaligned_inverted_same,True
