,alignment,condition,accuracy,sub,age,gender
0,misaligned,same,0.4166666666666667,UX6XX6,4.931506849315069,m
1,misaligned,same,1.0,ZFEcFW,4.191780821917808,f
2,misaligned,same,1.0,FMNR4U,4.602739726027397,f
3,misaligned,same,1.0,QWFWAQ,6.904109589041096,f
4,misaligned,same,0.9166666666666666,PHM3KT,5.835616438356165,f
5,misaligned,same,1.0,TMBc4N,4.931506849315069,m
6,misaligned,same,1.0,NRHSFK,5.506849315068493,m
7,misaligned,same,0.9166666666666666,BK45G2,4.767123287671233,m
8,misaligned,same,1.0,ADUJcY,6.082191780821918,m
9,misaligned,same,1.0,YdTJH7,5.424657534246576,f
10,misaligned,same,0.6666666666666666,TKA647,4.109589041095891,m
11,misaligned,same,1.0,JLCN7S,5.506849315068493,f
12,misaligned,same,0.9090909090909091,3R2CUC,5.835616438356165,f
13,misaligned,same,0.6,LcYFQM,5.506849315068493,f
14,misaligned,same,0.5833333333333334,BUR2PY,4.191780821917808,m
15,misaligned,same,0.9090909090909091,EV5Z3R,5.671232876712328,m
16,misaligned,same,0.6666666666666666,WKCNHd,5.260273972602739,m
17,misaligned,same,0.7272727272727273,REMYW7,4.273972602739726,f
18,misaligned,same,0.8333333333333334,CVLEAG,4.8493150684931505,f
19,misaligned,same,0.9166666666666666,W7Y6C5,5.424657534246576,m
20,misaligned,same,0.6666666666666666,KEEN74,5.589041095890411,m
21,misaligned,same,0.8181818181818182,ACXXZ7,4.767123287671233,m
22,misaligned,same,1.0,VLB4L4,5.671232876712328,f
23,misaligned,same,0.9166666666666666,EQXFYM,5.095890410958904,m
24,misaligned,same,1.0,Z7CAJd,6.082191780821918,f
25,misaligned,same,0.5454545454545454,7P6WGH,5.917808219178082,f
26,misaligned,same,0.5454545454545454,GC34M3,4.602739726027397,f
27,misaligned,same,1.0,5QcHDS,4.3561643835616435,f
28,misaligned,same,0.5833333333333334,4ST2Rd,4.684931506849315,m
29,misaligned,same,1.0,QLJ6L2,4.273972602739726,f
30,misaligned,same,1.0,VL6G4F,4.602739726027397,m
31,misaligned,same,0.9090909090909091,CQNccL,5.013698630136986,f
32,misaligned,same,0.7272727272727273,VARPcD,4.767123287671233,f
33,misaligned,same,1.0,A2VYCT,5.342465753424658,f
34,misaligned,same,1.0,cFUURR,6.410958904109589,f
35,misaligned,same,1.0,NESJTV,5.671232876712328,m
36,misaligned,same,1.0,PKKXND,5.671232876712328,m
37,misaligned,same,0.9166666666666666,5A3dF5,6.493150684931507,f
38,misaligned,same,0.2727272727272727,QEENND,6.164383561643835,m
39,misaligned,same,0.5454545454545454,RL5c27,5.095890410958904,o
40,misaligned,same,0.8,6FBUKN,4.931506849315069,f
41,misaligned,same,1.0,NdcEQS,6.410958904109589,f
42,misaligned,same,0.9090909090909091,ZFCGPB,6.986301369863014,f
43,misaligned,same,1.0,HZD5P2,6.739726027397261,m
44,misaligned,same,0.9090909090909091,LV7BXL,6.410958904109589,m
45,misaligned,same,1.0,FQcUQT,5.506849315068493,m
46,misaligned,same,0.5,VXA7XE,5.917808219178082,m
47,misaligned,same,0.7272727272727273,2H7PLP,5.260273972602739,m
48,misaligned,same,0.9166666666666666,TSZUY4,5.506849315068493,m
49,misaligned,same,0.8333333333333334,JMTYZH,5.095890410958904,m
50,misaligned,same,0.6666666666666666,BcD7QG,4.027397260273973,m
51,misaligned,same,0.75,6RPUM7,4.273972602739726,m
52,misaligned,same,0.8181818181818182,cdPUJD,5.589041095890411,m
53,misaligned,same,0.2727272727272727,TQ5R7T,5.506849315068493,f
54,misaligned,same,1.0,4LVKMA,6.082191780821918,m
55,misaligned,same,1.0,cHT4YU,6.2465753424657535,f
56,misaligned,same,1.0,JY6LQ2,6.164383561643835,f
57,misaligned,same,1.0,U672B2,5.835616438356165,f
58,misaligned,same,1.0,WF4NVS,4.684931506849315,m
59,misaligned,same,0.9166666666666666,FWYC7C,5.424657534246576,f
60,misaligned,same,0.9090909090909091,PB3BCS,4.767123287671233,f
61,misaligned,same,1.0,TNSEWV,4.767123287671233,m
62,misaligned,same,0.9090909090909091,V72TLK,6.739726027397261,f
63,misaligned,same,1.0,XV65MW,6.164383561643835,f
64,misaligned,same,1.0,WWYcKQ,5.424657534246576,f
65,misaligned,same,0.5,ZAMEDX,4.191780821917808,m
66,misaligned,same,1.0,QPRR32,6.904109589041096,f
67,misaligned,same,1.0,3W34dW,6.0,f
68,misaligned,same,0.9,PHFCV3,5.342465753424658,f
69,misaligned,same,0.0,VFFF4H,4.191780821917808,m
70,misaligned,same,0.2727272727272727,CJdTB6,4.3561643835616435,m
71,misaligned,same,0.9166666666666666,TV373M,6.657534246575342,m
72,misaligned,same,0.9166666666666666,CRVCXD,6.986301369863014,m
73,misaligned,same,0.9166666666666666,YPdQNV,4.109589041095891,f
74,misaligned,same,0.8181818181818182,7cNKKD,5.342465753424658,m
75,misaligned,same,1.0,CZGRED,5.506849315068493,m
76,misaligned,same,0.8181818181818182,663UJX,6.986301369863014,f
77,misaligned,same,1.0,KMGJCF,6.575342465753424,m
78,misaligned,same,1.0,FZLQ2Y,4.602739726027397,m
79,misaligned,same,0.9166666666666666,33UX2S,5.7534246575342465,f
80,misaligned,same,0.3333333333333333,H2VVXG,4.191780821917808,f
81,misaligned,same,0.9166666666666666,F4AJSB,5.342465753424658,m
82,misaligned,same,0.9,4UE4J2,5.506849315068493,m
83,misaligned,same,1.0,ZTYVTW,4.027397260273973,f
84,misaligned,same,0.5833333333333334,R52TRD,4.027397260273973,m
85,misaligned,same,0.9166666666666666,ZJPWHP,6.328767123287672,m
86,misaligned,same,1.0,RJRCRR,5.917808219178082,f
87,misaligned,same,1.0,CECNMS,4.3561643835616435,m
88,misaligned,same,0.75,5cKP4G,6.410958904109589,m
89,misaligned,same,0.7272727272727273,SNURNN,4.52054794520548,m
90,misaligned,same,0.5833333333333334,7AZPQD,4.438356164383562,f
91,misaligned,same,1.0,2TGKCT,6.657534246575342,f
92,misaligned,same,0.9,K6FGHF,6.493150684931507,m
93,misaligned,same,0.9090909090909091,dEEK22,6.739726027397261,f
94,misaligned,same,0.2727272727272727,ZRHCPK,4.273972602739726,m
95,misaligned,same,1.0,dcXZY4,6.904109589041096,m
96,misaligned,same,0.5454545454545454,7BKKNM,4.3561643835616435,f
97,misaligned,same,0.8,MR5U5N,4.3561643835616435,m
98,misaligned,same,1.0,5SAMNS,5.589041095890411,m
99,misaligned,same,1.0,C57ASP,6.904109589041096,m
100,misaligned,same,1.0,LA6RF5,5.260273972602739,m
101,misaligned,same,0.8181818181818182,42cZAM,6.657534246575342,f
102,misaligned,same,0.8333333333333334,TLLBVC,6.986301369863014,f
103,misaligned,same,0.5833333333333334,RNcVC3,4.684931506849315,f
104,misaligned,same,0.5833333333333334,2G2AL4,4.3561643835616435,m
105,misaligned,same,1.0,X37SMJ,5.917808219178082,f
