,alignment,condition,accuracy,sub,age,gender,cohort
0,misaligned,same,1.0,2RWWZ7,6.493150684931507,f,Expt2_Cohort1
1,misaligned,same,0.8333333333333334,NJdNH4,6.2465753424657535,f,Expt2_Cohort1
2,misaligned,same,0.9166666666666666,WJVWWU,4.684931506849315,m,Expt2_Cohort1
3,misaligned,same,1.0,CAT4ZG,6.410958904109589,m,Expt2_Cohort1
4,misaligned,same,0.5,2WP74c,4.3561643835616435,m,Expt2_Cohort1
5,misaligned,same,0.9166666666666666,EASJMJ,4.602739726027397,m,Expt2_Cohort1
6,misaligned,same,0.9,DCQcGU,6.2465753424657535,m,Expt2_Cohort1
7,misaligned,same,1.0,CDJG6B,4.191780821917808,m,Expt2_Cohort1
8,misaligned,same,0.6363636363636364,GHVHK6,6.904109589041096,m,Expt2_Cohort1
9,misaligned,same,1.0,637KXW,4.602739726027397,m,Expt2_Cohort1
10,misaligned,same,1.0,ZLTdXJ,6.575342465753424,f,Expt2_Cohort1
11,misaligned,same,1.0,TMYEYX,6.986301369863014,f,Expt2_Cohort1
12,misaligned,same,1.0,cULKQ4,5.7534246575342465,f,Expt2_Cohort1
13,misaligned,same,0.45454545454545453,3VTF4d,4.931506849315069,f,Expt2_Cohort1
14,misaligned,same,0.5454545454545454,BVATJP,5.589041095890411,m,Expt2_Cohort1
15,misaligned,same,1.0,66KR2A,6.739726027397261,m,Expt2_Cohort1
16,misaligned,same,1.0,Z6A6HA,5.095890410958904,f,Expt2_Cohort1
17,misaligned,same,1.0,4GHD47,6.821917808219178,m,Expt2_Cohort1
18,misaligned,same,1.0,RBPFW2,5.424657534246576,f,Expt2_Cohort1
19,misaligned,same,1.0,JT3dCQ,5.671232876712328,f,Expt2_Cohort1
20,misaligned,same,0.8181818181818182,ZPTAAN,5.671232876712328,m,Expt2_Cohort1
21,misaligned,same,0.8333333333333334,SQTVTK,4.438356164383562,f,Expt2_Cohort1
22,misaligned,same,1.0,QFZJCK,6.328767123287672,f,Expt2_Cohort1
23,misaligned,same,1.0,5MPU6P,4.931506849315069,m,Expt2_Cohort1
24,misaligned,same,1.0,PRCGVE,5.178082191780822,m,Expt2_Cohort1
25,misaligned,same,0.9090909090909091,2XXKHX,5.424657534246576,m,Expt2_Cohort1
26,misaligned,same,1.0,WdYBcR,6.493150684931507,f,Expt2_Cohort1
27,misaligned,same,0.0,SNQL5Q,5.095890410958904,f,Expt2_Cohort1
28,misaligned,same,1.0,D3FQFL,4.684931506849315,m,Expt2_Cohort1
29,misaligned,same,1.0,LZ4VF4,6.082191780821918,f,Expt2_Cohort1
30,misaligned,same,0.5,HU53KP,4.602739726027397,m,Expt2_Cohort1
31,misaligned,same,0.75,JY3YHZ,7.1506849315068495,f,Expt2_Cohort1
32,misaligned,same,0.6666666666666666,EFUU5P,4.438356164383562,m,Expt2_Cohort1
33,misaligned,same,0.8,NGd6cH,6.164383561643835,m,Expt2_Cohort1
34,misaligned,same,0.9166666666666666,JYcPYS,4.767123287671233,m,Expt2_Cohort1
35,misaligned,same,0.8333333333333334,R4MQRD,5.7534246575342465,m,Expt2_Cohort2
36,misaligned,same,0.5454545454545454,63ZA2G,4.438356164383562,f,Expt2_Cohort2
37,misaligned,same,1.0,D7cQVV,4.3561643835616435,m,Expt2_Cohort2
38,misaligned,same,0.5454545454545454,ZcTHZD,4.273972602739726,m,Expt2_Cohort2
39,misaligned,same,1.0,BHVRZB,6.657534246575342,m,Expt2_Cohort2
40,misaligned,same,1.0,FRcVX2,6.0,f,Expt2_Cohort2
41,misaligned,same,0.4166666666666667,XAZZBC,4.027397260273973,m,Expt2_Cohort2
42,misaligned,same,0.2727272727272727,GH7E3L,5.095890410958904,m,Expt2_Cohort2
43,misaligned,same,0.3,GXPFJT,4.438356164383562,f,Expt2_Cohort2
44,misaligned,same,0.9166666666666666,UULEZL,4.52054794520548,m,Expt2_Cohort2
45,misaligned,same,0.9166666666666666,42SYQN,4.767123287671233,f,Expt2_Cohort2
46,misaligned,same,0.8,PdQGGK,4.602739726027397,m,Expt2_Cohort2
47,misaligned,same,0.8333333333333334,FV6UMK,4.767123287671233,m,Expt2_Cohort2
48,misaligned,same,0.8333333333333334,P53E43,6.904109589041096,f,Expt2_Cohort2
49,misaligned,same,1.0,BM53dR,4.52054794520548,m,Expt2_Cohort2
50,misaligned,same,1.0,YUCc6Z,6.986301369863014,f,Expt2_Cohort2
51,misaligned,same,0.4166666666666667,KUJ4UH,4.438356164383562,m,Expt2_Cohort2
52,misaligned,same,0.5454545454545454,24DFVB,5.589041095890411,m,Expt2_Cohort2
53,misaligned,same,1.0,FE5VWR,6.739726027397261,m,Expt2_Cohort2
54,misaligned,same,1.0,3AcJCP,5.671232876712328,m,Expt2_Cohort2
55,misaligned,same,0.36363636363636365,KJFKY6,4.273972602739726,f,Expt2_Cohort2
56,misaligned,same,0.45454545454545453,SCF4A4,5.095890410958904,m,Expt2_Cohort2
57,misaligned,same,0.9090909090909091,647PWM,6.328767123287672,f,Expt2_Cohort2
58,misaligned,same,1.0,dK4AG7,4.684931506849315,f,Expt2_Cohort2
59,misaligned,same,0.8333333333333334,4YRELY,6.493150684931507,f,Expt2_Cohort2
60,misaligned,same,0.7272727272727273,654ADc,4.273972602739726,f,Expt2_Cohort2
61,misaligned,same,0.6666666666666666,W3DCM6,4.767123287671233,f,Expt2_Cohort2
62,misaligned,same,1.0,5WST6D,4.109589041095891,f,Expt2_Cohort2
