,alignment,condition,time_screen,sub,age,gender
0,misaligned,same,4.275,UX6XX6,4.931506849315069,m
1,misaligned,same,2.290909090909091,ZFEcFW,4.191780821917808,f
2,misaligned,same,2.669999999999999,FMNR4U,4.602739726027397,f
3,misaligned,same,0.49999999999999994,QWFWAQ,6.904109589041096,f
4,misaligned,same,6.233333333333334,PHM3KT,5.835616438356165,f
5,misaligned,same,3.793,TMBc4N,4.931506849315069,m
6,misaligned,same,2.9454545454545453,NRHSFK,5.506849315068493,m
7,misaligned,same,2.1833333333333336,BK45G2,4.767123287671233,m
8,misaligned,same,2.251666666666667,ADUJcY,6.082191780821918,m
9,misaligned,same,2.2800000000000002,YdTJH7,5.424657534246576,f
10,misaligned,same,3.4416666666666664,TKA647,4.109589041095891,m
11,misaligned,same,2.7,JLCN7S,5.506849315068493,f
12,misaligned,same,4.2272727272727275,3R2CUC,5.835616438356165,f
13,misaligned,same,2.67,LcYFQM,5.506849315068493,f
14,misaligned,same,10.2975,BUR2PY,4.191780821917808,m
15,misaligned,same,3.928181818181818,EV5Z3R,5.671232876712328,m
16,misaligned,same,2.983333333333334,WKCNHd,5.260273972602739,m
17,misaligned,same,5.103636363636364,REMYW7,4.273972602739726,f
18,misaligned,same,6.765000000000001,CVLEAG,4.8493150684931505,f
19,misaligned,same,2.8225000000000002,W7Y6C5,5.424657534246576,m
20,misaligned,same,13.574999999999998,KEEN74,5.589041095890411,m
21,misaligned,same,6.009090909090909,ACXXZ7,4.767123287671233,m
22,misaligned,same,1.8,VLB4L4,5.671232876712328,f
23,misaligned,same,2.866666666666666,EQXFYM,5.095890410958904,m
24,misaligned,same,5.435833333333335,Z7CAJd,6.082191780821918,f
25,misaligned,same,1.7454545454545454,7P6WGH,5.917808219178082,f
26,misaligned,same,2.690909090909091,GC34M3,4.602739726027397,f
27,misaligned,same,6.763636363636363,5QcHDS,4.3561643835616435,f
28,misaligned,same,2.2,4ST2Rd,4.684931506849315,m
