,alignment,condition,time_screen,sub,age,gender,cohort
0,misaligned,same,2.525,2RWWZ7,6.493150684931507,f,Expt2_Cohort1
1,misaligned,same,3.6108333333333333,NJdNH4,6.2465753424657535,f,Expt2_Cohort1
2,misaligned,same,2.1166666666666667,WJVWWU,4.684931506849315,m,Expt2_Cohort1
3,misaligned,same,0.21749999999999994,CAT4ZG,6.410958904109589,m,Expt2_Cohort1
4,misaligned,same,1.1583333333333332,2WP74c,4.3561643835616435,m,Expt2_Cohort1
5,misaligned,same,4.7,EASJMJ,4.602739726027397,m,Expt2_Cohort1
6,misaligned,same,2.68,DCQcGU,6.2465753424657535,m,Expt2_Cohort1
7,misaligned,same,1.7166666666666668,CDJG6B,4.191780821917808,m,Expt2_Cohort1
8,misaligned,same,2.2272727272727275,GHVHK6,6.904109589041096,m,Expt2_Cohort1
9,misaligned,same,3.8,637KXW,4.602739726027397,m,Expt2_Cohort1
10,misaligned,same,1.5190909090909093,ZLTdXJ,6.575342465753424,f,Expt2_Cohort1
11,misaligned,same,3.3833333333333333,TMYEYX,6.986301369863014,f,Expt2_Cohort1
12,misaligned,same,1.3508333333333333,cULKQ4,5.7534246575342465,f,Expt2_Cohort1
13,misaligned,same,1.4236363636363636,3VTF4d,4.931506849315069,f,Expt2_Cohort1
14,misaligned,same,2.3363636363636364,BVATJP,5.589041095890411,m,Expt2_Cohort1
15,misaligned,same,5.808333333333334,66KR2A,6.739726027397261,m,Expt2_Cohort1
16,misaligned,same,3.611111111111111,Z6A6HA,5.095890410958904,f,Expt2_Cohort1
17,misaligned,same,1.3727272727272728,4GHD47,6.821917808219178,m,Expt2_Cohort1
18,misaligned,same,3.8083333333333336,RBPFW2,5.424657534246576,f,Expt2_Cohort1
19,misaligned,same,1.7636363636363634,JT3dCQ,5.671232876712328,f,Expt2_Cohort1
20,misaligned,same,2.2181818181818183,ZPTAAN,5.671232876712328,m,Expt2_Cohort1
21,misaligned,same,3.415833333333333,SQTVTK,4.438356164383562,f,Expt2_Cohort1
22,misaligned,same,1.0363636363636364,QFZJCK,6.328767123287672,f,Expt2_Cohort1
23,misaligned,same,1.2666666666666668,5MPU6P,4.931506849315069,m,Expt2_Cohort1
24,misaligned,same,1.5416666666666667,PRCGVE,5.178082191780822,m,Expt2_Cohort1
25,misaligned,same,3.309090909090909,2XXKHX,5.424657534246576,m,Expt2_Cohort1
26,misaligned,same,1.5090909090909093,WdYBcR,6.493150684931507,f,Expt2_Cohort1
27,misaligned,same,0.6672727272727274,SNQL5Q,5.095890410958904,f,Expt2_Cohort1
28,misaligned,same,2.0833333333333335,D3FQFL,4.684931506849315,m,Expt2_Cohort1
29,misaligned,same,1.4000000000000001,LZ4VF4,6.082191780821918,f,Expt2_Cohort1
30,misaligned,same,2.52,HU53KP,4.602739726027397,m,Expt2_Cohort1
31,misaligned,same,4.2250000000000005,JY3YHZ,7.1506849315068495,f,Expt2_Cohort1
32,misaligned,same,3.8575,EFUU5P,4.438356164383562,m,Expt2_Cohort1
33,misaligned,same,1.55,NGd6cH,6.164383561643835,m,Expt2_Cohort1
34,misaligned,same,3.341666666666667,JYcPYS,4.767123287671233,m,Expt2_Cohort1
35,misaligned,same,2.725,R4MQRD,5.7534246575342465,m,Expt2_Cohort2
36,misaligned,same,9.081818181818182,63ZA2G,4.438356164383562,f,Expt2_Cohort2
37,misaligned,same,2.75,D7cQVV,4.3561643835616435,m,Expt2_Cohort2
38,misaligned,same,3.8063636363636353,ZcTHZD,4.273972602739726,m,Expt2_Cohort2
39,misaligned,same,4.058333333333333,BHVRZB,6.657534246575342,m,Expt2_Cohort2
40,misaligned,same,1.3974999999999997,FRcVX2,6.0,f,Expt2_Cohort2
41,misaligned,same,2.216666666666667,XAZZBC,4.027397260273973,m,Expt2_Cohort2
42,misaligned,same,1.7272727272727273,GH7E3L,5.095890410958904,m,Expt2_Cohort2
43,misaligned,same,3.55,GXPFJT,4.438356164383562,f,Expt2_Cohort2
44,misaligned,same,2.3916666666666666,UULEZL,4.52054794520548,m,Expt2_Cohort2
45,misaligned,same,3.1824999999999997,42SYQN,4.767123287671233,f,Expt2_Cohort2
46,misaligned,same,1.3699999999999999,PdQGGK,4.602739726027397,m,Expt2_Cohort2
47,misaligned,same,5.132499999999999,FV6UMK,4.767123287671233,m,Expt2_Cohort2
48,misaligned,same,2.933333333333333,P53E43,6.904109589041096,f,Expt2_Cohort2
49,misaligned,same,1.375,BM53dR,4.52054794520548,m,Expt2_Cohort2
50,misaligned,same,1.5833333333333337,YUCc6Z,6.986301369863014,f,Expt2_Cohort2
